condition,seed,extra_objects,noise_std_m,candidate_count,correct_candidates,candidate_precision,candidate_recall,oracle_translation_error_m,oracle_yaw_error_deg
extra_10,63,10,0.0,68,10,0.14705882352941177,1.0,0.0,0.0
extra_10,64,10,0.0,68,10,0.14705882352941177,1.0,1.9860273225978185e-15,6.3611093629270335e-15
extra_10,65,10,0.0,68,10,0.14705882352941177,1.0,1.9860273225978185e-15,6.3611093629270335e-15
extra_10,66,10,0.0,68,10,0.14705882352941177,1.0,0.0,0.0
extra_10,67,10,0.0,68,10,0.14705882352941177,1.0,1.7763568394002505e-15,1.2722218725854067e-14
extra_10,68,10,0.0,68,10,0.14705882352941177,1.0,1.7763568394002505e-15,0.0
extra_10,69,10,0.0,68,10,0.14705882352941177,1.0,0.0,6.3611093629270335e-15
extra_10,70,10,0.0,68,10,0.14705882352941177,1.0,0.0,0.0
extra_10,71,10,0.0,68,10,0.14705882352941177,1.0,1.7763568394002505e-15,0.0
noise_005,42,0,0.05,34,10,0.29411764705882354,1.0,0.027161202758754336,0.07918541486410138
noise_005,43,0,0.05,34,10,0.29411764705882354,1.0,0.0023607761877400403,0.4530320296823692
noise_005,44,0,0.05,34,10,0.29411764705882354,1.0,0.01958844739629137,0.22392295106845975
noise_005,45,0,0.05,34,10,0.29411764705882354,1.0,0.04264839633331662,0.17088559322215793
noise_005,46,0,0.05,34,10,0.29411764705882354,1.0,0.0180845815254783,0.004622180804203136
noise_005,47,0,0.05,34,10,0.29411764705882354,1.0,0.019832491073520815,0.11691242218621366
noise_005,48,0,0.05,34,10,0.29411764705882354,1.0,0.009933983761344323,0.17759814101533805
noise_005,49,0,0.05,34,10,0.29411764705882354,1.0,0.025001641674409943,0.10359579283196442
noise_005,50,0,0.05,34,10,0.29411764705882354,1.0,0.01665477282055769,0.148335854220766
noise_005,51,0,0.05,34,10,0.29411764705882354,1.0,0.02360793060108179,0.5334178588086093
noise_005,52,0,0.05,34,10,0.29411764705882354,1.0,0.03215248880067195,0.3619635228877039
noise_005,53,0,0.05,34,10,0.29411764705882354,1.0,0.019401241535926324,0.10918012052671394
noise_005,54,0,0.05,34,10,0.29411764705882354,1.0,0.026273336264399195,0.17814231674957898
noise_005,55,0,0.05,34,10,0.29411764705882354,1.0,0.028340123084475578,0.4344725605002367
noise_005,56,0,0.05,34,10,0.29411764705882354,1.0,0.006041030615927194,0.2599187317899247
noise_005,57,0,0.05,34,10,0.29411764705882354,1.0,0.020700844573020443,0.27975657131340415
noise_005,58,0,0.05,34,10,0.29411764705882354,1.0,0.010179888421254077,0.02607161518264145
noise_005,59,0,0.05,34,10,0.29411764705882354,1.0,0.024433926597664732,0.13081703603888778
noise_005,60,0,0.05,34,10,0.29411764705882354,1.0,0.015505180882767323,0.03700010529562673
noise_005,61,0,0.05,34,10,0.29411764705882354,1.0,0.0075144429325437224,0.4198373486497298
noise_005,62,0,0.05,34,10,0.29411764705882354,1.0,0.008243893278109399,0.08416734542741959
